"Month","Monthly Lake Erie Levels 1921 ? 1970,"
"1921-01",14.763
"1921-02",14.649
"1921-03",15.085
"1921-04",16.376
"1921-05",16.926
"1921-06",16.774
"1921-07",16.490
"1921-08",15.769
"1921-09",15.180
"1921-10",14.383
"1921-11",14.478
"1921-12",14.364
"1922-01",13.928
"1922-02",13.283
"1922-03",13.700
"1922-04",15.465
"1922-05",16.243
"1922-06",16.490
"1922-07",16.243
"1922-08",15.787
"1922-09",15.446
"1922-10",14.649
"1922-11",13.776
"1922-12",13.188
"1923-01",13.283
"1923-02",12.657
"1923-03",12.979
"1923-04",13.909
"1923-05",14.535
"1923-06",14.877
"1923-07",14.858
"1923-08",14.288
"1923-09",13.947
"1923-10",13.416
"1923-11",12.903
"1923-12",13.454
"1924-01",13.491
"1924-02",13.567
"1924-03",13.397
"1924-04",14.440
"1924-05",15.161
"1924-06",15.427
"1924-07",15.693
"1924-08",15.142
"1924-09",14.763
"1924-10",14.288
"1924-11",13.074
"1924-12",12.543
"1925-01",12.239
"1925-02",12.011
"1925-03",12.827
"1925-04",13.567
"1925-05",13.548
"1925-06",13.302
"1925-07",13.188
"1925-08",13.112
"1925-09",12.827
"1925-10",12.201
"1925-11",11.917
"1925-12",11.803
"1926-01",11.157
"1926-02",10.892
"1926-03",11.120
"1926-04",12.600
"1926-05",13.283
"1926-06",13.416
"1926-07",13.340
"1926-08",13.529
"1926-09",13.776
"1926-10",14.307
"1926-11",13.852
"1926-12",13.833
"1927-01",13.169
"1927-02",12.941
"1927-03",13.188
"1927-04",14.383
"1927-05",14.763
"1927-06",15.218
"1927-07",15.161
"1927-08",14.858
"1927-09",14.156
"1927-10",13.586
"1927-11",13.150
"1927-12",14.137
"1928-01",14.231
"1928-02",14.364
"1928-03",13.833
"1928-04",14.478
"1928-05",15.009
"1928-06",15.617
"1928-07",16.148
"1928-08",15.977
"1928-09",15.142
"1928-10",14.592
"1928-11",14.364
"1928-12",14.497
"1929-01",14.554
"1929-02",14.991
"1929-03",15.863
"1929-04",17.932
"1929-05",19.184
"1929-06",19.184
"1929-07",18.956
"1929-08",18.254
"1929-09",17.514
"1929-10",16.660
"1929-11",16.338
"1929-12",16.319
"1930-01",17.457
"1930-02",17.173
"1930-03",17.856
"1930-04",18.596
"1930-05",18.558
"1930-06",18.159
"1930-07",17.685
"1930-08",16.812
"1930-09",16.072
"1930-10",15.332
"1930-11",14.478
"1930-12",14.213
"1931-01",13.738
"1931-02",13.169
"1931-03",12.581
"1931-04",13.245
"1931-05",13.852
"1931-06",14.175
"1931-07",14.288
"1931-08",13.985
"1931-09",13.435
"1931-10",12.884
"1931-11",12.429
"1931-12",12.410
"1932-01",13.397
"1932-02",13.909
"1932-03",13.833
"1932-04",14.099
"1932-05",14.687
"1932-06",14.611
"1932-07",14.383
"1932-08",13.909
"1932-09",13.359
"1932-10",12.296
"1932-11",12.106
"1932-12",11.803
"1933-01",12.353
"1933-02",12.220
"1933-03",12.827
"1933-04",14.250
"1933-05",15.085
"1933-06",14.953
"1933-07",14.440
"1933-08",13.890
"1933-09",13.036
"1933-10",12.201
"1933-11",11.404
"1933-12",11.309
"1934-01",10.987
"1934-02",10.361
"1934-03",10.304
"1934-04",11.347
"1934-05",11.784
"1934-06",11.841
"1934-07",11.841
"1934-08",11.651
"1934-09",11.404
"1934-10",10.873
"1934-11",10.209
"1934-12",10.076
"1935-01",10.247
"1935-02",10.133
"1935-03",10.740
"1935-04",11.556
"1935-05",12.201
"1935-06",12.505
"1935-07",12.732
"1935-08",12.201
"1935-09",12.068
"1935-10",11.290
"1935-11",11.139
"1935-12",11.101
"1936-01",10.342
"1936-02",10.000
"1936-03",11.347
"1936-04",12.770
"1936-05",13.321
"1936-06",13.340
"1936-07",13.188
"1936-08",12.676
"1936-09",12.315
"1936-10",12.049
"1936-11",11.594
"1936-12",11.252
"1937-01",12.467
"1937-02",13.491
"1937-03",13.491
"1937-04",14.156
"1937-05",15.256
"1937-06",15.598
"1937-07",16.034
"1937-08",15.598
"1937-09",14.516
"1937-10",13.435
"1937-11",12.638
"1937-12",12.106
"1938-01",12.144
"1938-02",12.979
"1938-03",11.917
"1938-04",15.066
"1938-05",15.199
"1938-06",15.427
"1938-07",15.427
"1938-08",15.408
"1938-09",14.706
"1938-10",14.137
"1938-11",13.302
"1938-12",12.979
"1939-01",13.036
"1939-02",12.903
"1939-03",13.719
"1939-04",14.801
"1939-05",15.541
"1939-06",15.617
"1939-07",15.503
"1939-08",15.218
"1939-09",14.592
"1939-10",13.852
"1939-11",13.416
"1939-12",13.055
"1940-01",12.315
"1940-02",12.239
"1940-03",12.562
"1940-04",13.890
"1940-05",14.687
"1940-06",15.313
"1940-07",15.408
"1940-08",15.028
"1940-09",14.782
"1940-10",14.213
"1940-11",13.435
"1940-12",13.662
"1941-01",14.288
"1941-02",13.491
"1941-03",13.150
"1941-04",13.586
"1941-05",13.871
"1941-06",14.175
"1941-07",14.099
"1941-08",13.719
"1941-09",13.093
"1941-10",12.562
"1941-11",12.030
"1941-12",12.144
"1942-01",11.860
"1942-02",12.410
"1942-03",12.770
"1942-04",14.630
"1942-05",15.218
"1942-06",15.920
"1942-07",15.882
"1942-08",15.750
"1942-09",15.275
"1942-10",14.801
"1942-11",14.554
"1942-12",14.345
"1943-01",15.104
"1943-02",14.554
"1943-03",14.953
"1943-04",15.958
"1943-05",17.590
"1943-06",18.805
"1943-07",18.805
"1943-08",18.330
"1943-09",17.476
"1943-10",16.812
"1943-11",16.224
"1943-12",15.541
"1944-01",14.744
"1944-02",14.478
"1944-03",14.725
"1944-04",16.319
"1944-05",17.324
"1944-06",17.609
"1944-07",17.211
"1944-08",16.546
"1944-09",15.977
"1944-10",15.427
"1944-11",14.972
"1944-12",14.535
"1945-01",14.213
"1945-02",13.719
"1945-03",15.009
"1945-04",16.319
"1945-05",17.078
"1945-06",17.913
"1945-07",18.159
"1945-08",17.704
"1945-09",17.059
"1945-10",17.268
"1945-11",16.546
"1945-12",16.072
"1946-01",15.996
"1946-02",15.294
"1946-03",15.901
"1946-04",16.300
"1946-05",16.546
"1946-06",17.495
"1946-07",17.666
"1946-08",16.964
"1946-09",16.148
"1946-10",15.427
"1946-11",14.839
"1946-12",14.269
"1947-01",14.118
"1947-02",14.156
"1947-03",14.080
"1947-04",16.414
"1947-05",18.216
"1947-06",19.298
"1947-07",18.824
"1947-08",18.368
"1947-09",17.875
"1947-10",16.869
"1947-11",16.129
"1947-12",15.712
"1948-01",15.617
"1948-02",15.161
"1948-03",16.148
"1948-04",17.609
"1948-05",18.406
"1948-06",18.463
"1948-07",18.254
"1948-08",17.609
"1948-09",16.812
"1948-10",15.712
"1948-11",15.066
"1948-12",14.763
"1949-01",14.877
"1949-02",15.370
"1949-03",15.731
"1949-04",15.996
"1949-05",16.224
"1949-06",16.186
"1949-07",16.015
"1949-08",15.446
"1949-09",14.573
"1949-10",14.080
"1949-11",13.226
"1949-12",12.979
"1950-01",14.459
"1950-02",15.655
"1950-03",15.636
"1950-04",17.154
"1950-05",17.381
"1950-06",17.116
"1950-07",16.736
"1950-08",16.167
"1950-09",15.920
"1950-10",15.408
"1950-11",15.066
"1950-12",15.769
"1951-01",15.787
"1951-02",15.863
"1951-03",17.154
"1951-04",18.178
"1951-05",18.653
"1951-06",18.615
"1951-07",18.406
"1951-08",17.837
"1951-09",17.078
"1951-10",16.471
"1951-11",16.224
"1951-12",16.395
"1952-01",17.400
"1952-02",18.672
"1952-03",19.089
"1952-04",19.829
"1952-05",20.000
"1952-06",19.943
"1952-07",19.526
"1952-08",18.975
"1952-09",18.463
"1952-10",17.268
"1952-11",16.414
"1952-12",16.414
"1953-01",16.755
"1953-02",16.736
"1953-03",17.173
"1953-04",17.647
"1953-05",18.216
"1953-06",18.767
"1953-07",18.539
"1953-08",18.273
"1953-09",17.419
"1953-10",16.679
"1953-11",15.996
"1953-12",15.465
"1954-01",15.408
"1954-02",15.123
"1954-03",16.072
"1954-04",17.685
"1954-05",18.235
"1954-06",18.064
"1954-07",17.818
"1954-08",17.438
"1954-09",16.812
"1954-10",17.116
"1954-11",17.211
"1954-12",17.097
"1955-01",17.495
"1955-02",17.097
"1955-03",18.121
"1955-04",18.748
"1955-05",18.767
"1955-06",18.539
"1955-07",18.102
"1955-08",17.818
"1955-09",17.002
"1955-10",16.357
"1955-11",15.560
"1955-12",15.313
"1956-01",14.782
"1956-02",13.719
"1956-03",14.839
"1956-04",15.825
"1956-05",17.324
"1956-06",17.723
"1956-07",17.685
"1956-08",17.514
"1956-09",16.907
"1956-10",15.863
"1956-11",14.934
"1956-12",14.706
"1957-01",14.383
"1957-02",14.345
"1957-03",14.763
"1957-04",15.958
"1957-05",16.698
"1957-06",16.793
"1957-07",17.230
"1957-08",16.509
"1957-09",15.787
"1957-10",14.991
"1957-11",14.080
"1957-12",14.326
"1958-01",14.497
"1958-02",13.510
"1958-03",13.662
"1958-04",14.042
"1958-05",14.269
"1958-06",14.478
"1958-07",14.972
"1958-08",14.972
"1958-09",14.573
"1958-10",13.776
"1958-11",13.017
"1958-12",12.600
"1959-01",12.296
"1959-02",13.131
"1959-03",13.966
"1959-04",15.028
"1959-05",15.844
"1959-06",15.769
"1959-07",15.237
"1959-08",14.801
"1959-09",14.137
"1959-10",13.890
"1959-11",13.416
"1959-12",13.871
"1960-01",14.478
"1960-02",14.725
"1960-03",14.763
"1960-04",15.806
"1960-05",16.565
"1960-06",17.097
"1960-07",17.306
"1960-08",17.211
"1960-09",16.717
"1960-10",15.787
"1960-11",14.801
"1960-12",14.231
"1961-01",13.966
"1961-02",14.004
"1961-03",15.313
"1961-04",16.357
"1961-05",17.742
"1961-06",17.609
"1961-07",17.249
"1961-08",17.078
"1961-09",16.509
"1961-10",15.465
"1961-11",14.706
"1961-12",14.213
"1962-01",13.662
"1962-02",13.928
"1962-03",14.516
"1962-04",15.180
"1962-05",15.351
"1962-06",15.579
"1962-07",15.446
"1962-08",15.199
"1962-09",14.725
"1962-10",14.383
"1962-11",14.231
"1962-12",13.776
"1963-01",13.150
"1963-02",12.713
"1963-03",13.283
"1963-04",14.478
"1963-05",14.858
"1963-06",14.782
"1963-07",14.307
"1963-08",14.023
"1963-09",13.529
"1963-10",12.922
"1963-11",12.410
"1963-12",11.936
"1964-01",11.784
"1964-02",11.992
"1964-03",12.619
"1964-04",13.662
"1964-05",14.231
"1964-06",14.099
"1964-07",13.833
"1964-08",13.416
"1964-09",12.922
"1964-10",11.974
"1964-11",11.461
"1964-12",11.423
"1965-01",11.860
"1965-02",12.163
"1965-03",13.226
"1965-04",13.966
"1965-05",14.535
"1965-06",14.516
"1965-07",14.231
"1965-08",13.966
"1965-09",13.738
"1965-10",13.226
"1965-11",12.998
"1965-12",13.131
"1966-01",13.700
"1966-02",13.814
"1966-03",14.383
"1966-04",15.047
"1966-05",15.693
"1966-06",15.844
"1966-07",15.712
"1966-08",15.313
"1966-09",14.763
"1966-10",13.548
"1966-11",13.586
"1966-12",14.516
"1967-01",14.383
"1967-02",14.497
"1967-03",14.744
"1967-04",15.806
"1967-05",16.527
"1967-06",16.546
"1967-07",16.717
"1967-08",16.433
"1967-09",15.769
"1967-10",15.275
"1967-11",15.123
"1967-12",15.541
"1968-01",15.825
"1968-02",16.376
"1968-03",16.357
"1968-04",16.907
"1968-05",17.021
"1968-06",17.419
"1968-07",17.533
"1968-08",17.268
"1968-09",16.603
"1968-10",15.825
"1968-11",15.446
"1968-12",15.636
"1969-01",15.693
"1969-02",16.755
"1969-03",16.509
"1969-04",17.723
"1969-05",18.691
"1969-06",19.127
"1969-07",19.564
"1969-08",19.203
"1969-09",18.216
"1969-10",17.211
"1969-11",16.660
"1969-12",16.831
"1970-01",15.769
"1970-02",15.731
"1970-03",15.996
"1970-04",17.021
"1970-05",17.552
"1970-06",17.837
"1970-07",17.856
"1970-08",17.571
"1970-09",17.078
"1970-10",16.660
"1970-11",16.433
"1970-12",16.584
